src/compact/examples/multiconst/negative/reference_before_assignment.compact	fail	Exception: reference_before_assignment.compact line 18 char 5:
src/compact/examples/multiconst/negative/reference_before_assignment_2.compact	fail	Exception: reference_before_assignment_2.compact line 18 char 15:
src/compact/examples/multiconst/negative/trailing_comma.compact	fail	Exception: trailing_comma.compact line 17 char 24:
src/compact/examples/proposal.compact	fail	Exception: proposal.compact line 20 char 15:
src/compact/examples/reserved/example_1.compact	fail	Exception: example_1.compact line 16 char 15:
src/compact/examples/reserved/example_10.compact	fail	Exception: example_10.compact line 16 char 25:
src/compact/examples/reserved/example_11.compact	fail	Exception: example_11.compact line 16 char 37:
src/compact/examples/reserved/example_12.compact	fail	Exception: example_12.compact line 16 char 8:
src/compact/examples/reserved/example_13.compact	fail	Exception: example_13.compact line 16 char 6:
src/compact/examples/reserved/example_14.compact	fail	Exception: example_14.compact line 16 char 15:
src/compact/examples/reserved/example_15.compact	fail	Exception: example_15.compact line 16 char 8:
src/compact/examples/reserved/example_16.compact	fail	Exception: example_16.compact line 16 char 10:
src/compact/examples/reserved/example_17.compact	fail	Exception: example_17.compact line 17 char 17:
src/compact/examples/reserved/example_18.compact	fail	Exception: example_18.compact line 16 char 1:
src/compact/examples/reserved/example_19.compact	fail	Exception: example_19.compact line 18 char 11:
src/compact/examples/reserved/example_2.compact	fail	Exception: example_2.compact line 16 char 9:
src/compact/examples/reserved/example_20.compact	fail	Exception: example_20.compact line 17 char 16:
src/compact/examples/reserved/example_21.compact	fail	Exception: example_21.compact line 16 char 8:
src/compact/examples/reserved/example_22.compact	fail	Exception: example_22.compact line 17 char 9:
src/compact/examples/reserved/example_23.compact	fail	Exception: example_23.compact line 16 char 9:
src/compact/examples/reserved/example_24.compact	fail	Exception: example_24.compact line 16 char 22:
src/compact/examples/reserved/example_25.compact	fail	Exception: example_25.compact line 17 char 21:
src/compact/examples/reserved/example_26.compact	fail	Exception: example_26.compact line 16 char 16:
src/compact/examples/reserved/example_27.compact	fail	Exception: example_27.compact line 16 char 13:
src/compact/examples/reserved/example_28.compact	fail	Exception: example_28.compact line 16 char 13:
src/compact/examples/reserved/example_29.compact	fail	Exception: example_29.compact line 17 char 14:
src/compact/examples/reserved/example_3.compact	fail	Exception: example_3.compact line 16 char 8:
src/compact/examples/reserved/example_30.compact	fail	Exception: example_30.compact line 16 char 17:
src/compact/examples/reserved/example_31.compact	fail	Exception: example_31.compact line 16 char 9:
src/compact/examples/reserved/example_32.compact	fail	Exception: example_32.compact line 16 char 9:
src/compact/examples/reserved/example_33.compact	fail	Exception: example_33.compact line 22 char 18:
src/compact/examples/reserved/example_34.compact	fail	Exception: example_34.compact line 16 char 6:
src/compact/examples/reserved/example_35.compact	fail	Exception: example_35.compact line 16 char 10:
src/compact/examples/reserved/example_36.compact	fail	Exception: example_36.compact line 16 char 5:
src/compact/examples/reserved/example_37.compact	fail	Exception: example_37.compact line 17 char 13:
src/compact/examples/reserved/example_38.compact	fail	Exception: example_38.compact line 17 char 10:
src/compact/examples/reserved/example_4.compact	fail	Exception: example_4.compact line 16 char 14:
src/compact/examples/reserved/example_40.compact	fail	Exception: example_40.compact line 16 char 13:
src/compact/examples/reserved/example_41.compact	fail	Exception: example_41.compact line 16 char 13:
src/compact/examples/reserved/example_42.compact	fail	Exception: example_42.compact line 16 char 1:
src/compact/examples/reserved/example_43.compact	fail	Exception: example_43.compact line 16 char 1:
src/compact/examples/reserved/example_44.compact	fail	Exception: example_44.compact line 16 char 1:
src/compact/examples/reserved/example_45.compact	fail	Exception: example_45.compact line 17 char 3:
src/compact/examples/reserved/example_46.compact	fail	Exception: example_46.compact line 16 char 1:
src/compact/examples/reserved/example_47.compact	fail	Exception: example_47.compact line 22 char 18:
src/compact/examples/reserved/example_48.compact	fail	Exception: example_48.compact line 16 char 37:
src/compact/examples/reserved/example_5.compact	fail	Exception: example_5.compact line 16 char 6:
src/compact/examples/reserved/example_6.compact	fail	Exception: example_6.compact line 16 char 28:
src/compact/examples/reserved/example_7.compact	fail	Exception: example_7.compact line 16 char 28:
src/compact/examples/reserved/example_8.compact	fail	Exception: example_8.compact line 16 char 10:
src/compact/examples/reserved/example_9.compact	fail	Exception: example_9.compact line 16 char 26:
src/compact/examples/return/examples.compact	ok	
src/compact/examples/return/negative/example_one.compact	fail	Exception: example_one.compact line 17 char 10:
src/compact/examples/return/negative/example_three.compact	fail	Exception: example_three.compact line 18 char 3:
src/compact/examples/return/negative/example_two.compact	fail	Exception: example_two.compact line 16 char 1:
src/compact/examples/secp256k1/arithmetic.compact	fail	Exception: arithmetic.compact line 18 char 1:
src/compact/examples/std_lib/block_time.compact	ok	
src/compact/examples/std_lib/import/test_import_csl.compact	ok	
src/compact/examples/std_lib/import/test_import_csl_quotes.compact	fail	Exception: test_import_csl_quotes.compact line 16 char 1:
src/compact/examples/std_lib/import/test_import_std.compact	fail	Exception: test_import_std.compact line 16 char 1:
src/compact/examples/std_lib/import/test_include_std.compact	fail	Exception: test_include_std.compact line 16 char 1:
src/compact/examples/std_lib/mint.compact	fail	Exception: mint.compact line 18 char 74:
src/compact/examples/tiny.compact	ok	
src/compact/examples/types/examples.compact	fail	Exception: examples.compact line 534 char 35:
src/compact/examples/types/negative/example_eight.compact	fail	Exception: example_eight.compact line 17 char 1:
src/compact/examples/types/negative/example_eighteen.compact	fail	Exception: example_eighteen.compact line 17 char 22:
src/compact/examples/types/negative/example_eleven.compact	fail	Exception: example_eleven.compact line 16 char 22:
src/compact/examples/types/negative/example_fifteen.compact	fail	Exception: example_fifteen.compact line 16 char 22:
src/compact/examples/types/negative/example_five.compact	fail	Exception: example_five.compact line 16 char 32:
src/compact/examples/types/negative/example_four.compact	fail	Exception: example_four.compact line 17 char 21:
src/compact/examples/types/negative/example_fourteen.compact	fail	Exception: example_fourteen.compact line 16 char 22:
src/compact/examples/types/negative/example_nine.compact	fail	Exception: example_nine.compact line 16 char 22:
src/compact/examples/types/negative/example_one.compact	fail	Exception: example_one.compact line 16 char 6:
src/compact/examples/types/negative/example_seven.compact	fail	Exception: example_seven.compact line 18 char 1:
src/compact/examples/types/negative/example_seventeen.compact	fail	Exception: example_seventeen.compact line 16 char 35:
src/compact/examples/types/negative/example_six.compact	fail	Exception: example_six.compact line 16 char 29:
src/compact/examples/types/negative/example_sixteen.compact	fail	Exception: example_sixteen.compact line 16 char 35:
src/compact/examples/types/negative/example_thirteen.compact	fail	Exception: example_thirteen.compact line 16 char 35:
src/compact/examples/types/negative/example_three.compact	fail	Exception: example_three.compact line 17 char 1:
src/compact/examples/types/negative/example_two.compact	fail	Exception: example_two.compact line 17 char 1:
src/compact/examples/vectors/negative/invalid_index_length.compact	fail	Exception: invalid_index_length.compact line 19 char 31:
src/compact/examples/vectors/negative/non_constant_index.compact	fail	Exception: non_constant_index.compact line 19 char 10:
src/compact/examples/vectors/negative/non_negative_index.compact	fail	Exception: non_negative_index.compact line 22 char 13:
src/compact/examples/vectors/negative/non_vector_type.compact	fail	Exception: non_vector_type.compact line 18 char 14:
src/compact/examples/vectors/slice_part_one.compact	ok	
src/compact/examples/vectors/spread_part_one.compact	ok	
src/compact/examples/wpp/constructor_export_circuit.compact	ok	
src/compact/examples/wpp/constructor_test.compact	ok	
src/compact/examples/wpp/contract/contract_wpp.compact	ok	
src/compact/examples/wpp/export_circuit.compact	ok	
src/compact/examples/wpp/module_wpp.compact	ok	
src/compact/examples/wpp/negative/pm_16723_neg.compact	fail	Exception: pm_16723_neg.compact line 23 char 10:
src/compact/examples/wpp/pm_16723.compact	ok	
src/compact/examples/wpp/pm_16774.compact	ok	
src/compact/examples/wpp/test/test.compact	ok	
src/compact/examples/zerocash.compact	ok	
src/compact/test-center/compact/bar.compact	ok	
src/compact/test-center/compact/block-time.compact	ok	
src/compact/test-center/compact/ecdsa.compact	fail	Exception: ecdsa.compact line 35 char 7:
src/compact/test-center/compact/empty.compact	ok	
src/compact/test-center/compact/foo.compact	fail	Exception: foo.compact line 17 char 3:
src/compact/test-center/compact/gas-cost.compact	ok	
src/compact/test-center/compact/invalid-extension.compact	fail	Exception: invalid-extension.compact line 16 char 1:
src/compact/test-center/compact/loop.compact	fail	Exception: src/compact/test-center/compact/loop.compact line 16 char 1:
src/compact/test-center/compact/multiple.compact	fail	Exception: src/compact/test-center/compact/foo.compact line 17 char 3:
src/compact/test-center/compact/schnorr.compact	ok	
src/compact/test-center/compact/simple.compact	fail	Exception: foo.compact line 17 char 3:
src/compact/test-center/compact/test.compact	ok	
src/compact/test-center/compact/test01.compact	fail	Exception: test01.compact line 56 char 9:
src/compact/test-center/compact/threading.compact	ok	
src/compact/test-center/compact/unshielded-tokens.compact	ok	
src/compact/test-center/compact2/foo.compact	fail	Exception: foo.compact line 17 char 10:
src/compact/test-center/composable/Basic/Inner.compact	ok	
src/compact/test-center/composable/Basic/Outer.compact	ok	
src/compact/test-center/composable/CalleeWitness/Callee.compact	ok	
src/compact/test-center/composable/CalleeWitness/Caller.compact	ok	
src/compact/test-center/composable/Events/Inner.compact	ok	
src/compact/test-center/composable/Events/Outer.compact	ok	
src/compact/test-center/composable/Purity/Honest.compact	ok	
src/compact/test-center/composable/Purity/Liar.compact	ok	
src/compact/test-center/composable/Recursion/Mutual/A.compact	ok	
src/compact/test-center/composable/Recursion/Mutual/B.compact	ok	
src/compact/test-center/composable/Recursion/Single/Self.compact	ok	
src/compact/test-center/composable/Storage/Inner.compact	ok	
src/compact/test-center/composable/Storage/Outer.compact	ok	
src/compact/test-center/composable/Witness/Inner.compact	ok	
src/compact/test-center/composable/Witness/Outer.compact	ok	
src/compact/test-center/test-contracts/bboard.compact	ok	
src/compact/test-center/test-contracts/coracle.compact	ok	
src/compact/test-center/test-contracts/counter.compact	ok	
src/compact/test-center/test-contracts/micro-dao.compact	ok	
src/compact/test-center/test-contracts/welcome.compact	ok	
src/compact/test-contracts/primitives/bytes/default/semantics/bytes_default_semantics.compact	ok	
src/compact/test-contracts/primitives/bytes/equality/empty/bytes_equality_empty.compact	ok	
src/compact/test-contracts/primitives/bytes/fold/boolean_reduction/bytes_fold_boolean_reduction.compact	ok	
src/compact/test-contracts/primitives/bytes/fold/conditional_accumulation/bytes_fold_conditional_accumulation.compact	ok	
src/compact/test-contracts/primitives/bytes/fold/summation/bytes_fold_summation.compact	ok	
src/compact/test-contracts/primitives/bytes/indexing/basic/bytes_indexing_basic.compact	ok	
src/compact/test-contracts/primitives/bytes/loops/empty_iteration/bytes_loop_empty_iteration.compact	ok	
src/compact/test-contracts/primitives/bytes/loops/indexed_access/bytes_loop_indexed_access.compact	ok	
src/compact/test-contracts/primitives/bytes/loops/iteration/bytes_loop_iteration.compact	ok	
src/compact/test-contracts/primitives/bytes/loops/spread_iteration/bytes_loop_spread_iteration.compact	ok	
src/compact/test-contracts/primitives/bytes/manual_update/semantics/bytes_manual_update_semantics.compact	ok	
src/compact/test-contracts/primitives/bytes/manual_update/slow/large_reconstruction/bytes_manual_update_large_reconstruction.compact	ok	
src/compact/test-contracts/primitives/bytes/map/reordering/bytes_map_reordering.compact	ok	
